ARRAY SIZE;Num SERVERS;CUTOFF;Num STEALS;Num INIT;Thread CPU;Thread CLOCK;SEQ CPU ;SEQ CLOCK
10000;5;100;59;0;0;11304691;0;1736908
50000;5;500;44;0;0;11602326;15625000;7165574
100000;5;1000;179;0;1562500;16010703;15625000;14425933
150000;5;1500;111;0;1562500;15697371;15625000;25913552
1000000;5;10000;161;0;15625000;124431898;156250000;221171679
1500000;5;15000;160;0;21875000;201065327;281250000;276219035
2000000;5;20000;157;0;22656250;260135886;421875000;429917556
10000;10;100;121;0;0;2672073;0;1165786
50000;10;500;160;0;0;6820849;0;6935556
100000;10;1000;142;0;1171875;8832450;15625000;16630725
150000;10;1500;136;0;1171875;10981096;15625000;21601771
1000000;10;10000;133;0;5859375;148251742;140625000;145320673
1500000;10;15000;174;0;9765625;115011422;265625000;259460321
2000000;10;20000;192;0;10937500;132895474;312500000;299372975
10000;15;100;90;0;0;3255872;0;1025723
50000;15;500;161;0;0;6598076;15625000;6084309
100000;15;1000;176;0;781250;10419032;15625000;15675637
150000;15;1500;186;0;0;12257968;15625000;18741336
1000000;15;10000;201;0;11718750;188611150;140625000;146482837
1500000;15;15000;199;0;6770833;126810561;234375000;236885954
2000000;15;20000;194;0;14583333;238182749;296875000;306815657
10000;20;100;150;0;0;17318968;0;1148279
50000;20;500;150;0;0;5434704;0;6355984
100000;20;1000;149;0;0;8083835;15625000;13027713
150000;20;1500;159;0;781250;12393202;15625000;19512289
1000000;20;10000;179;0;3906250;67840825;140625000;151856565
1500000;20;15000;163;0;5468750;141596313;296875000;287733822
2000000;20;20000;171;0;4882812;185384256;328125000;324484180
